DATETIME,Distance,Power,Liter,V1,V2,X,Y,Phase,Phase_compressed,Production
"2021-03-31 07:02:36",20.0625,3316.67,0,0,0,6.97478,1.33593,20,4,0
"2021-03-31 07:02:46",20.0625,3309.64,0,0,0,3.04973,1.51188,20,4,0
"2021-03-31 07:02:47",20.0625,3336.57,0,0,0,3.08832,1.58292,20,4,0
"2021-03-31 07:02:48",20.0625,3319.01,0,0,0,3.10963,1.62216,20,4,0
"2021-03-31 07:02:49",20.0625,3311.99,0,0,0,3.09278,1.5533,20,4,0
"2021-03-31 07:02:51",20.0625,3341.25,0,0,0,3.20388,1.72788,20,4,0
"2021-03-31 07:02:52",20.0625,3322.53,0,0,0,3.25753,1.7183,20,4,0
"2021-03-31 07:02:53",20.0625,3322.53,0,0,0,3.35692,1.9681,20,4,0
"2021-03-31 07:02:54",20.0625,3327.2,0,0,0,3.40043,2,20,4,0
"2021-03-31 07:02:55",20.0625,3312.77,0,0,0,3.43298,1.8845,20,4,0
"2021-03-31 07:02:57",20.0625,3336.57,0,0,0,3.09546,1.20396,20,4,0
"2021-03-31 07:02:58",20.0625,3319.01,0,0,0,2.9168,1.02245,20,4,0
"2021-03-31 07:03:00",20.0625,3330.71,0,0,0,2.97756,1.12746,20,4,0
"2021-03-31 07:03:01",20.0625,3328.38,0,0,0,2.81061,1.57449,11,2,0
"2021-03-31 07:03:03",20.0625,3322.13,0,0,0,2.71804,1.75086,11,2,0
"2021-03-31 07:03:04",20.0625,3301.45,0,0,0,2.75277,1.13921,11,2,0
"2021-03-31 07:03:05",20.0625,3324.48,0,0,0,2.21417,1.37297,11,2,0
"2021-03-31 07:03:06",20.0625,3329.55,0,0,0,1.91838,1.50263,11,2,0
"2021-03-31 07:03:07",20.0625,3315.49,0,0,0,1.33173,1.07986,11,2,0
"2021-03-31 07:03:09",20.0625,3331.5,0,0,0,0.914967,0.77819,11,2,0
"2021-03-31 07:03:10",20.0625,3315.5,0,0,0,0.757433,0.745254,11,2,0
"2021-03-31 07:03:11",20.0625,3342.42,0,0,0,0.7269,0.488328,11,2,0
"2021-03-31 07:03:12",20.0625,3322.52,0,0,0,0.399371,0.191572,11,2,0
"2021-03-31 07:03:36",20.0625,3311.99,0,0,0,0,0,11,2,0
"2021-03-31 07:03:37",20.0625,3271.02,0,0,0,0.54173,0,11,2,0
"2021-03-31 07:03:38",20.0625,3274.15,0,0,0,0.873075,0.0299662,11,2,0
"2021-03-31 07:03:40",20.0625,3283.89,0,0,1,0.743999,0.445148,11,2,0
"2021-03-31 07:03:42",20.0625,3261.66,0,0,1,2.0273,1.76026,11,2,0
"2021-03-31 07:03:43",20.0625,3280.38,0,0,1,3.07499,2.12539,11,2,0
"2021-03-31 07:03:46",20.0625,3268.68,0,0,1,3.49155,1.2578,11,2,0
"2021-03-31 07:03:47",20.0625,3259.32,0,0,1,3.44606,1.10139,11,2,0
"2021-03-31 07:03:48",20.0625,3266.34,0,0,1,3.40143,0.936734,11,2,0
"2021-03-31 07:03:49",20.0625,323,0,0,1,3.37058,0.912842,11,2,0
"2021-03-31 07:03:50",20.0625,2986.63,0,1,1,3.40108,0.913418,11,2,0
"2021-03-31 07:03:52",20.0625,3150.87,0,1,1,3.37855,0.845171,11,2,0
"2021-03-31 07:03:53",20.0625,3045.55,0,1,1,3.58778,0.841492,11,2,0
"2021-03-31 07:03:54",20.0625,2310.2,0,1,1,3.86688,0.850364,11,2,0
"2021-03-31 07:03:55",20.0625,2319.55,0,1,1,4.11348,0.996226,11,2,0
"2021-03-31 07:03:56",20.0625,2304.34,0,1,1,4.23473,1.14942,11,2,0
"2021-03-31 07:03:58",20.0625,2309.8,0,1,1,4.31394,1.19494,11,2,0
"2021-03-31 07:03:59",20.0625,2323.07,0,1,1,4.32075,1.18741,11,2,0
"2021-03-31 07:04:00",20.0625,2304.34,0,1,1,4.24108,1.15935,11,2,0
"2021-03-31 07:04:01",20.0625,2310.2,0,1,1,4.17075,1.08373,2,1,0
"2021-03-31 07:04:04",20.0625,2346.47,0,1,1,4.15837,1.14999,2,1,0
"2021-03-31 07:04:05",20.0625,2330.09,0,1,1,4.05299,1.03632,2,1,0
"2021-03-31 07:04:06",20.0625,2340.62,0,1,1,3.99899,0.976483,2,1,0
"2021-03-31 07:04:07",20.0625,1355.22,0,1,1,4.09349,0.979743,2,1,0
"2021-03-31 07:04:08",20.0625,929.613,0,1,1,4.23416,0.943458,2,1,0
"2021-03-31 07:04:10",20.0625,1172.25,0,1,1,3.89915,0.670702,2,1,0
"2021-03-31 07:04:11",20.0625,1207.75,0,1,1,3.45598,1.31321,2,1,0
"2021-03-31 07:04:12",20.0625,883.19,0,1,1,2.95552,1.82948,2,1,0
"2021-03-31 07:04:13",20.0625,1356.4,0,1,1,2.68128,1.83408,2,1,0
"2021-03-31 07:04:14",20.0625,-3766.07,0,1,1,2.57239,1.74726,2,1,0
"2021-03-31 07:04:16",20.0625,-5143.53,0,1,1,2.54338,1.78078,2,1,0
"2021-03-31 07:04:17",20.0625,-4637.95,0,1,1,2.5415,1.74277,2,1,0
"2021-03-31 07:04:18",20.0625,-4385.17,0,1,1,2.34207,1.48251,2,1,0
"2021-03-31 07:04:19",20.0625,-79.58,0,1,1,2.45696,1.66508,2,1,0
